,prefix,subject,fwh,mask,stat,mean,std
1249,rs,sub-1,11,union,sig,7.014342795198821,0.3725522755764637
1248,rr.rs,sub-36,19,union,std,0.4031284749507904,0.22892530262470245
1247,rr,sub-xp207,2,union,sig,6.923711209255191,1.8618745123211404
1246,rr,sub-xp201,14,union,sig,9.886515325940001,1.1915795902437212
1245,rr,sub-CTS201,20,union,mean,380.62890625,42.61134338378906
1244,rr,sub-CTS201,18,union,sig,9.445532909785596,0.796618553177063
1243,rr,sub-CTS210,4,union,mean,115.87438201904297,12.455583572387695
1242,rr.rs,sub-xp201,9,union,std,4.761279582977295,4.7552995681762695
1241,rs,sub-adult15,15,union,mean,3810.103759765625,598.94091796875
1240,rs,sub-adult16,6,union,std,9.925923347473145,11.120451927185059
1239,rr.rs,sub-adult15,8,union,std,11.338423728942871,9.298891067504883
1238,rr.rs,sub-1,8,union,mean,676.0589599609375,91.74362182617188
1237,rr,sub-xp207,14,union,std,0.8203602433204651,0.969677209854126
1236,rr.rs,sub-adult16,3,union,std,17.790971755981445,23.686220169067383
1235,rr.rs,sub-adult15,11,union,mean,3830.333984375,704.200439453125
1234,rs,sub-adult15,17,union,std,7.950089454650879,4.354975700378418
1233,rr.rs,sub-1,7,union,mean,677.2619018554688,97.03876495361328
1232,rs,sub-adult15,9,union,std,10.112451553344727,7.281251907348633
1231,rr.rs,sub-adult16,7,union,std,10.029332160949707,11.25191593170166
1230,rr,sub-xp207,10,union,std,1.1067962646484375,1.6738816499710083
1229,rr.rs,sub-36,20,union,mean,391.81683349609375,35.833091735839844
1228,rr.rs,sub-36,9,union,std,0.5962851047515869,0.5842161178588867
1227,rs,sub-adult15,13,union,std,8.638461112976074,5.19516658782959
1226,rr,sub-1,19,union,sig,9.391573792350794,0.8385598353103363
1225,rr,sub-xp207,6,union,sig,7.9725905939997395,1.4688578028549715
1224,rr,sub-xp201,10,union,sig,9.624344761493381,1.3308697780873857
1223,rs,sub-xp201,8,union,sig,9.294065526331249,1.2072600434846077
1222,rr,sub-adult16,12,union,mean,5528.087890625,906.3063354492188
1221,rs,sub-adult16,2,union,std,18.75938606262207,25.517995834350586
1220,rr.rs,sub-36,1,union,std,2.5063347816467285,3.793109893798828
1219,rs,sub-adult15,2,union,mean,3914.213623046875,1195.7220458984375
1218,rr,sub-36,6,union,std,0.7051570415496826,0.9143899083137512
1217,rr,sub-xp207,18,union,std,0.6857790350914001,0.6649215817451477
1216,rr,sub-adult15,1,union,mean,3923.53564453125,1300.671875
